,Date,Miles,Time,Seconds,Minutes,Minutes_per_Mile,Day_of_week
104,2014-11-05,0.0,,,,,Wednesday
105,2014-11-06,0.0,,,,,Thursday
106,2014-11-07,5.63,0:49:05,2945.0,49.08333333333334,8.718176435760805,Friday
107,2014-11-07,1.26,,,,,Friday
108,2014-11-07,1.2,,,,,Friday
109,2014-11-08,0.0,,,,,Saturday
110,2014-11-09,3.05,0:22:36,1356.0,22.6,7.4098360655737725,Sunday
111,2014-11-10,1.5,0:09:00,540.0,9.0,6.0,Monday
112,2014-11-10,1.5,0:11:33,693.0,11.55,7.7,Monday
113,2014-11-10,4.0,,,,,Monday
114,2014-11-11,0.0,,,,,Tuesday
115,2014-11-12,0.0,,,,,Wednesday
116,2014-11-13,0.0,,,,,Thursday
117,2014-11-14,0.0,,,,,Friday
118,2014-11-15,0.0,,,,,Saturday
119,2014-11-16,0.0,,,,,Sunday
120,2014-11-17,0.0,,,,,Monday
121,2014-11-18,0.0,,,,,Tuesday
122,2014-11-19,0.0,,,,,Wednesday
123,2014-11-20,0.0,,,,,Thursday
124,2014-11-21,0.0,,,,,Friday
125,2014-11-22,0.0,,,,,Saturday
126,2014-11-23,3.05,0:22:35,1355.0,22.58333333333333,7.4043715846994544,Sunday
127,2014-11-24,0.0,,,,,Monday
128,2014-11-25,0.0,,,,,Tuesday
129,2014-11-26,0.0,,,,,Wednesday
130,2014-11-27,1.0,,,,,Thursday
131,2014-11-28,3.0,,,,,Friday
132,2014-11-29,0.0,,,,,Saturday
133,2014-11-30,0.0,,,,,Sunday
134,2014-12-01,0.0,,,,,Monday
135,2014-12-02,0.0,,,,,Tuesday
136,2014-12-03,0.0,,,,,Wednesday
137,2014-12-04,0.0,,,,,Thursday
138,2014-12-05,0.0,,,,,Friday
139,2014-12-06,0.0,,,,,Saturday
140,2014-12-07,0.0,,,,,Sunday
141,2014-12-08,0.0,,,,,Monday
142,2014-12-09,2.93,0:25:00,1500.0,25.0,8.532423208191126,Tuesday
143,2014-12-10,0.0,,,,,Wednesday
144,2014-12-11,0.0,,,,,Thursday
145,2014-12-12,1.37,0:09:15,555.0,9.25,6.751824817518247,Friday
146,2014-12-13,5.3,0:43:36,2616.0,43.6,8.226415094339622,Saturday
147,2014-12-13,2.21,0:18:59,1139.0,18.983333333333334,8.589743589743591,Saturday
148,2014-12-14,0.0,,,,,Sunday
149,2014-12-15,6.5,0:58:43,3523.0,58.71666666666667,9.033333333333333,Monday
150,2014-12-16,0.0,,,,,Tuesday
151,2014-12-17,12.0,1:39:00,5940.0,99.0,8.25,Wednesday
152,2014-12-18,0.0,,,,,Thursday
153,2014-12-19,3.1,0:26:15,1575.0,26.25,8.46774193548387,Friday
154,2014-12-20,14.8,2:15:00,8100.0,135.0,9.12162162162162,Saturday
155,2014-12-21,0.0,,,,,Sunday
156,2014-12-22,3.1,0:28:00,1680.0,28.0,9.032258064516126,Monday
157,2014-12-23,5.63,0:51:50,3110.0,51.83333333333334,9.206631142687982,Tuesday
158,2014-12-24,3.05,0:25:08,1508.0,25.13333333333333,8.240437158469948,Wednesday
159,2014-12-25,14.8,2:20:00,8400.0,140.0,9.459459459459461,Thursday
160,2014-12-26,5.2,,,,,Friday
161,2014-12-27,0.0,,,,,Saturday
162,2014-12-28,0.0,,,,,Sunday
163,2014-12-29,0.0,,,,,Monday
164,2014-12-30,3.15,0:22:10,1330.0,22.16666666666667,7.037037037037037,Tuesday
165,2014-12-31,0.0,,,,,Wednesday
166,2015-01-01,26.2,4:20:43,15643.0,260.71666666666664,9.951017811704832,Thursday
167,2015-01-02,0.0,,,,,Friday
